Title,Opus Number,Movement Number,0,1,2,3,4,5,6,7,8,9,10,11,Range,Duration
Op. 1,1,,5.99448463685838,9.956938582002838,12.996666847641029,7.187132298473031,7.947557401395235,9.4030766749754,8.297919330183078,5.851755102174556,5.720852283368002,11.311127885325009,11.738005094728587,3.5944838628742093,9.402182984766819,5648.316020133975
Op. 2,2,,7.908017154960794,4.532162000838748,13.36561756714697,6.167382771738913,8.937306911022182,1.1174000710910699,14.641508898021444,9.303082677489996,6.98787309495078,8.659673020545814,9.416844164200663,8.96313166799291,13.524108826930373,386.8707264957253
Op. 3 i,3,i,3.1910650179497417,7.424212205823692,13.158157159952136,9.737734343837255,13.088352612684481,5.7838053450339055,5.110690067810132,4.4625049860390895,12.789190267251696,2.991623454327882,15.157558835261268,7.105105704028721,12.165935380933385,167.13333333333333
Op. 3 ii,3,ii,5.812867971968788,8.43425982399583,8.7479306438965,9.235863030408655,11.554786591817187,11.249828850247095,8.713078330574204,6.438964886294336,10.359850135052731,8.853732309339186,4.768543297775682,5.830294128629937,6.786243294041506,57.38499999999993
Op. 3 iii,3,iii,6.949352179034158,8.568904593639576,6.095406360424029,12.102473498233216,9.982332155477033,9.393404004711424,7.567726737338044,3.7396937573616014,8.74558303886926,9.305064782096585,7.832744405182569,9.717314487632509,8.362779740871614,94.33333333333333
Op. 3 iv,3,iv,8.479105928085518,6.2682215743440235,5.247813411078718,6.195335276967929,6.229348882410107,8.415937803692906,9.353741496598637,10.724003887269193,11.85617103984451,5.7337220602526715,9.970845481049562,11.525753158406218,6.608357628765792,142.91666666666669
Op. 3 v,3,v,6.882440476190475,9.933035714285714,12.16517857142857,10.751488095238093,14.880952380952378,10.23065476190476,4.315476190476191,4.836309523809523,3.7574404761904754,7.142857142857142,9.48660714285714,5.617559523809523,11.123511904761902,224.00000000000003
Op. 4 i,4,i,5.770111433368924,9.738971149442783,9.98320867043194,8.884139825980714,14.638986414287814,10.715921233399426,6.014348954358085,6.96076934819108,6.319645855594534,3.7246221950847023,6.899709967943787,10.349564951915683,10.914364219203112,1129.4827586206954
Op. 4 ii,4,ii,10.108312955005603,12.185148991681926,9.912166679914543,8.638618606543211,6.047103160316276,8.058128498019848,8.783565794333983,7.8639694021162425,9.964417803255252,7.038354896175745,4.218547629178344,7.1816655834592,7.966601362503582,182.79572649572617
Op. 4 iii,4,iii,7.752113526570049,7.555857487922705,6.106582125603865,13.54921497584541,6.333031400966184,11.918780193236715,7.125603864734299,8.235205314009661,8.257850241545892,7.586050724637682,6.672705314009662,8.907004830917877,7.442632850241546,220.79999999999998
Op. 4 iv,4,iv,8.549922799794134,6.204966546577458,4.747812660833762,4.979413278435409,12.680133813690173,11.300180133813694,8.672156459083892,9.228641276376738,12.255532681420487,6.436567164179105,2.560473494595986,12.38419969119918,10.119660319094187,154.2063492063492
Op. 4 v,4,v,7.347240169835702,8.5840871330995,10.337825364592948,5.039689865239062,4.984308657928742,4.227432158021044,6.7011260845486404,10.485508584087132,13.291489754476645,9.193280413513014,10.430127376776811,9.377884437880743,9.064057596455601,225.70833333333337
Op. 5 i,5,i,7.954994078168243,10.254979103421123,7.246756605905544,7.120492260778471,10.35810065752762,7.5043903235907345,8.77996651102012,10.065752753311545,9.452468791265712,6.970744789468723,6.532393100725646,7.758961024817293,3.825707556801974,333.89545454545174
Op. 5 ii,5,ii,11.627906976744185,6.440071556350627,5.366726296958855,11.091234347048301,10.37567084078712,11.985688729874775,8.586762075134168,6.976744186046512,3.9355992844364938,12.522361359570661,3.041144901610018,8.050089445438283,9.481216457960643,139.75
Op. 5 iii,5,iii,7.6650452408274505,20.791892193799356,4.45299726828675,8.36290150599659,8.313141673352105,4.466808160612564,5.2312816711179835,9.09000436667921,7.654687071583094,6.8812771013374405,8.396007027306997,8.693956719100688,16.338894925512605,103.43802521008381
Op. 5 iv,5,iv,15.392061955469503,7.8412391093901235,6.4278799612778315,4.878993223620522,14.617618586640848,7.9380445304937055,15.430784123910938,4.007744433688286,2.0329138431752174,0.9099709583736685,3.581800580832526,16.940948693126813,16.030977734753144,86.08333333333336
Op. 5 v,5,v,15.882784479947833,16.824258232800783,3.2156830779263124,5.335017932833388,7.971959569612,8.656667753505054,6.125692859471797,6.920443430061949,8.876752526899251,2.4005542875774375,9.867134007173133,7.923051842191067,14.423703945223346,511.16666666666663
Op. 6 i,6,i,3.5301953818827663,7.326820603907626,6.505328596802832,9.01420959147423,9.058614564831243,8.570159857904073,14.742451154529283,6.571936056838355,7.260213143872103,5.417406749555943,13.876554174067476,8.126110124333913,11.212255772646516,187.66666666666694
Op. 6 ii,6,ii,11.23245347715827,12.58527699396364,4.473693610029646,3.8700575061613742,4.707647247919421,7.328463763974713,11.828945958495554,9.658177661892346,8.80630067507233,5.864914097939065,9.090259670679002,10.55380933671465,8.715219487802266,699.925
Op. 6 iii,6,iii,7.197382769901853,7.415485278080698,5.888767720828788,6.543075245365322,11.777535441657577,8.287895310796074,13.958560523446007,1.6357688113413302,17.230098146128675,14.394765539803705,1.6357688113413302,4.034896401308615,15.594329334787345,275.1
Op. 6 iv,6,iv,10.058977719528144,7.175622542594992,5.209698558322389,10.419397116644777,7.83093053735252,13.695937090432455,5.8322411533420455,9.108781127129713,11.074705111402325,5.996068152031426,7.011795543905612,6.585845347313208,8.486238532110066,497.6086956521759
